食べる,たべる,eat,私は食べます。
行く,いく,go,私は映画館に行きます。
見る,みる,see,私は映画を見ます。
する,する,do,私は宿題をします。
来る,くる,come,私は明日、友達と映画館に来ます。
言う,いう,say,私は彼に話すことが大切だと言います。
持つ,もつ,have,私は本を持っています。
ある,ある,have,私には本があります。
使う,つかう,use,私はこのペンを使います。
知る,しる,know,私は彼の名前を知っています。
思う,おもう,think,私は彼が素晴らしい人だと思います。
聞く,きく,listen,私は音楽を聞きます。
作る,つくる,make,私は料理を作ります。
入る,はいる,enter,私は家に入ります。
出る,でる,exit,私は今出ています。
歩く,あるく,walk,私は散歩します。
待つ,まつ,wait,私はあなたを待っています。
勉強する,べんきょうする,study,私は勉強します。
使える,つかえる,can use,今日のパーティーで使えるように、料理を作ってきました。
知れる,しれる,can be known,それは誰にも知れません。
見える,みえる,can see,彼は青い鳥が見えます。
言える,いえる,can say,私は日本語が上手に言えます。
持てる,もてる,can hold,私は多くの本を持てます。
行ける,いける,can go,私はどこでも行けます。
来れる,これる,can come,私は明日パーティーに来れます。
遊ぶ,あそぶ,play,私は友達と遊びます。
泳ぐ,およぐ,swim,私は泳ぎます。
寝る,ねる,sleep,私は寝ます。
読む,よむ,read,私は本を読みます。
飲む,のむ,drink,私は水を飲みます。
買う,かう,buy,私は本を買います。
貸す,かす,lend,私はお金を友達に貸しています。
借りる,かりる,borrow,私は本を借ります。
運転する,うんてんする,drive,私は車を運転します。
書く,かく,write,私は手紙を書きます。
聞こえる,きこえる,can hear,今、音楽が聞こえます。
泣く,なく,cry,私は泣きます。
笑う,わらう,laugh,私は笑います。
走る,はしる,run,私は走ります。
飛ぶ,とぶ,fly,私は飛びます。
落ちる,おちる,fall,物が落ちます。
起きる,おきる,wake up,私は毎朝早く起きます。
休む,やすむ,rest,私は休みます。
捨てる,すてる,throw away,私はゴミを捨てます。
座る,すわる,sit,私は椅子に座ります。
立つ,たつ,stand,私は立っています。
探す,さがす,search,私は友達を探しています。
見つける,みつける,find,私は鍵を見つけました。
掴む,つかむ,grab,私は本を掴みます。
離す,はなす,release,私は手を離します。
開ける,あける,open,私は窓を開けます。
閉める,しめる,close,私はドアを閉めます。
止める,とめる,stop,私は車を止めます。
続ける,つづける,continue,私は勉強を続けます。
始める,はじめる,start,私は新しいプロジェクトを始めます。
終わる,おわる,end,私の授業が終わりました。
教える,おしえる,teach,私は彼に数学を教えます。
学ぶ,まなぶ,learn,私は新しい言語を学びます。
知らせる,しらせる,inform,私は友達にパーティーの日時を知らせます。
話す,はなす,talk,私は日本語を話します。
聞く,きく,listen,私は先生の話を聞きます。
言う,いう,speak,私は感謝の言葉を言います。
答える,こたえる,answer,私は質問に答えます。
尋ねる,たずねる,ask,私は彼に道を尋ねます。
説明する,せつめいする,explain,私は今、このプロジェクトの内容を説明します。
描く,えがく,draw,私は絵を描きます。
見せる,みせる,show,彼に写真を見せます。
作成する,さくせいする,create,私はレポートを作成します。
消す,けす,erase,私は電気を消します。
壊す,こわす,break,私は彼のパソコンを壊します。
修理する,しゅうりする,repair,私は家の電気製品を修理します。
掃除する,そうじする,clean,私は毎日掃除します。
遊ぶ,あそぶ,play,私は公園で遊びます。
競争する,きょうそうする,compete,私たちは競争します。
勝つ,かつ,win,私たちは試合に勝ちます。
負ける,まける,lose,私は決して負けません。
支持する,しじする,support,私は彼の政策を支持します。
反対する,はんたいする,oppose,私はあなたの意見に反対します。
信じる,しんじる,believe,私はあなたを信じます。
疑う,うたがう,doubt,私は彼の言葉を疑います。
感じる,かんじる,feel,私は幸せを感じます。
理解する,りかいする,understand,私はその問題を理解します。
試す,ためす,try,私はその新しいレシピを試します。
選ぶ,えらぶ,choose,私は来週のテストのために勉強するために教科書を選びます。
友達,ともだち,friends,私は明日、友達と映画館に来ます。
本,ほん,book,私は本を持っています。
彼,かれ,he,私は彼に話すことが大切だと言います。
名前,なまえ,name,私は彼の名前を知っています。
人,ひと,person,私は彼が素晴らしい人だと思います。
音楽,おんがく,music,私は音楽を聞きます。
料理,りょうり,cooking,今日のパーティーで使えるように、料理を作ってきました。
水,みず,water,私は水を飲みます。
お金,おかね,money,私はお金を友達に貸しています。
手紙,てがみ,letter,私は手紙を書きます。
物,もの,thing,物が落ちます。
朝,あさ,morning,私は毎朝早く起きます。
ゴミ,ごみ,trash,私はゴミを捨てます。
椅子,いす,chair,私は椅子に座ります。
鍵,かぎ,key,私は鍵を見つけました。
手,て,hand,私は手を離します。
窓,まど,window,私は窓を開けます。
ドア,どあ,door,私はドアを閉めます。
車,くるま,car,私は車を運転します。
授業,じゅぎょう,class,私の授業が終わりました。
数学,すうがく,math,私は彼に数学を教えます。
言語,げんご,language,私は新しい言語を学びます。
先生,せんせい,teacher,私は先生の話を聞きます。
感謝,かんしゃ,thanks,私は感謝の言葉を言います。
質問,しつもん,question,私は質問に答えます。
道,みち,way,私は彼に道を尋ねます。
写真,しゃしん,picture,彼に写真を見せます。
電気,でんき,electricity,私は電気を消します。
公園,こうえん,park,私は公園で遊びます。
試合,しあい,match,私たちは試合に勝ちます。
政策,せいさく,policy,私は彼の政策を支持します。
意見,いけん,opinion,私はあなたの意見に反対します。
言葉,ことば,word,私は彼の言葉を疑います。
幸せ,しあわせ,happiness,私は幸せを感じます。
問題,もんだい,problem,私はその問題を理解します。
レシピ,れしぴ,recipe,私はその新しいレシピを試します。
来週,らいしゅう,next week,私は来週のテストのために勉強するために教科書を選びます。
テスト,てすと,test,私は来週のテストのために勉強するために教科書を選びます。
